Team,SMR,プロジェクト,フェーズ,SMR開始日,SMR Fix日,SMR担当,SMR照査,見積工数,実績工数,残工数,着地予想工数,着地予想%
PF,SMR-TMCLB18TCU-00318,,,,,,,544,500.25,0,500.25,91.96
PF,SMR-TMC18PL-00752,,,,,,,193,190,0,190,98.45
PF,SMR-TMCLB18TCU-00335,,,,,,,44,42.5,0.99,43.49,98.84
PF,SMR-TMCLB18TCU-00340,,,,,,,409.5,420,0,420,102.56
PF,SMR-PSARELGENIIIPF4U1400-00015,F-W93,1.0(U14.0.0),,,片桐,伊藤,779.5,772.25,0,772.25,99.07
PF,SMR-PSARELGENIIIPF4U1400-00022,,,,,,,617,807.5,24.3,831.8,134.81
PF,SMR-PSARELGENIIIPF4U1400-00029,F-W93,1.0(U14.0.0),,,片桐,伊藤,8,1.5,6,7.5,93.75
PF,SMR-TMCLB-01199,,,,,,,63.5,65,0,65,102.36
PF,SMR-TMCLB18TCU-00389,L-B18,9.0(CV),,,木村,数藤,587,614.5,5.16,619.66,105.56
PF,SMR-TMCLB18TCU-00396,,,,,,,214,225,0,225,105.14
PF,SMR-MMNEWBBS6ISS-00074,,,,,,,138.25,116.5,0,116.5,84.27
